,df,sum_sq,mean_sq,F,PR(>F)
C(text_length),2.0,2.523838559814173,1.2619192799070864,0.9683424437776673,0.38273387232379996
C(interactive),1.0,0.3071951703253634,0.3071951703253634,0.23572832802068094,0.6282164641620613
C(text_length):C(interactive),2.0,3.1040417634725563,1.5520208817362782,1.1909539043774127,0.3075882828632697
Residual,117.0,152.4714285714285,1.3031746031746025,,
