,df,sum_sq,mean_sq,F,PR(>F)
C(text_length),2.0,1.8965789622475524,0.9482894811237762,1.1453716915892265,0.31886047359320485
C(interactive),1.0,0.4749979531303898,0.4749979531303898,0.5737163808182769,0.4491090972536108
C(text_length):C(interactive),2.0,1.852084566960054,0.926042283480027,1.1185008774490717,0.3275087202544788
Residual,552.0,457.01827400153303,0.8279316557998787,,
