,df,sum_sq,mean_sq,F,PR(>F)
C(text_length),2.0,1.425528294126344,0.712764147063172,0.8572249120562311,0.4249021210226781
C(interactive),1.0,0.508428948732818,0.508428948732818,0.6114757071608201,0.4345680036921268
C(text_length):C(interactive),2.0,1.2063576287513644,0.6031788143756822,0.7254291735040779,0.4845776976605827
Residual,552.0,458.9761725835871,0.8314785735209911,,
