,df,sum_sq,mean_sq,F,PR(>F)
C(text_length),2.0,0.25678220900726734,0.12839110450363367,0.16336034618451795,0.8493261403600763
C(interactive),1.0,0.007386775643149801,0.007386775643149801,0.009398674705054547,0.9228038609853435
C(text_length):C(interactive),2.0,0.6722460495132051,0.33612302475660255,0.4276711684746966,0.6522416446932133
Residual,552.0,433.83777851422354,0.7859380045547528,,
