,df,sum_sq,mean_sq,F,PR(>F)
C(text_length),2.0,7905.197131697712,3952.598565848856,1.0428635965313973,0.35313730912601393
C(interactive),1.0,39726.371717574024,39726.371717574024,10.4815063296556,0.001278127619713674
C(text_length):C(interactive),2.0,1829.02434304425,914.512171522125,0.24128720293164485,0.7856987779024214
Residual,552.0,2092157.033389055,3790.1395532410415,,
